track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,popularity_category,duration_minutes,explicit_label
0dF7HP4wDwxCtID3mXpdYX,CoComelon,"CoComelon Kids Hits, Vol. 1",Baa Baa Black Sheep,68.0,147780.0,False,0.711,0.396,0.0,-11.266,1.0,0.0486,0.829,3e-05,0.119,0.969,199.955,4.0,children,High,2.46,Non-Explicit
5txSLkf7BeYIgTtUnVDDG8,CoComelon,"CoComelon Kids Hits, Vol. 1",Old MacDonald,64.0,147147.0,False,0.704,0.479,1.0,-12.362,1.0,0.0348,0.292,1.14e-06,0.0419,0.936,199.841,4.0,children,High,2.45,Non-Explicit
1nTBgueuGtO762MadGoWvZ,CoComelon,"CoComelon Kids Hits, Vol. 2",Five Little Monkeys Jumping on the Bed,64.0,169302.0,False,0.959,0.2,4.0,-12.65,1.0,0.155,0.8,0.00398,0.0842,0.717,119.925,3.0,children,High,2.82,Non-Explicit
2R5iTxkCln6NLTw6l0kjWw,CoComelon,"CoComelon Kids Hits, Vol. 3",Happy Birthday Song,62.0,62228.0,False,0.866,0.387,4.0,-11.011,1.0,0.0345,0.403,0.0,0.145,0.79,94.976,3.0,children,High,1.04,Non-Explicit
4viZNXLsmhCsSVjiRZ7GC1,CoComelon,Nursery Rhymes by CoComelon,Baa Baa Black Sheep,49.0,147780.0,False,0.711,0.396,0.0,-11.266,1.0,0.0486,0.829,3e-05,0.119,0.969,199.955,4.0,children,Moderate,2.46,Non-Explicit
6xfOJl9l0Gc5WxjmBAvQsA,CoComelon,CoComelon Essentials,Head Shoulder Knees and Toes,64.0,127026.0,False,0.516,0.351,0.0,-11.012,1.0,0.044,0.709,8.61e-05,0.116,0.796,159.757,4.0,children,High,2.12,Non-Explicit
5wVJTaoVAbhFrQC1QZVPO3,CoComelon,Nursery Rhymes by CoComelon,Wheels on the Bus,52.0,207340.0,False,0.941,0.387,9.0,-11.92,1.0,0.0427,0.184,2.88e-05,0.157,0.965,125.021,4.0,children,High,3.46,Non-Explicit
097ftnCPnGHhn93lS0HHlO,CoComelon,"CoComelon Kids Hits, Vol. 3",Twinkle Twinkle Little Star,67.0,177477.0,False,0.459,0.206,0.0,-9.694,1.0,0.0282,0.673,0.0,0.294,0.354,160.072,4.0,children,High,2.96,Non-Explicit
6cKlr2BOXBaqiuaHUY5Zwo,CoComelon,"CoComelon Kids Hits, Vol. 1",Itsy Bitsy Spider,67.0,129761.0,False,0.919,0.289,2.0,-12.244,1.0,0.048,0.586,3.19e-06,0.075,0.866,100.042,4.0,children,High,2.16,Non-Explicit
2UTkYyycHc6q8eLAA9raDu,CoComelon,Nursery Rhymes by CoComelon,Hickory Dickory Dock,56.0,144844.0,False,0.851,0.377,0.0,-11.197,1.0,0.085,0.817,0.00413,0.0437,0.734,119.963,4.0,children,High,2.41,Non-Explicit
